MSG	797115 TRIAL 5 START
MSG	799818 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.53 deg.  -9.1,-16.8 pix.
MSG	800577 RECCFG P 500 2 1 
MSG	800577 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	800578 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	800578 !MODE RECORD P 500 2 1
EBLINK L 800788	800874	88
800876	  935.0	  830.6	  198.0	.
800878	  934.1	  826.9	  200.0	I
800880	  933.1	  823.2	  203.0	.
800882	  933.6	  815.5	  208.0	.
800884	  931.3	  800.5	  219.0	.
800886	  930.2	  792.9	  232.0	.
800888	  932.5	  783.5	  242.0	.
800890	  931.5	  774.3	  251.0	.
800892	  927.2	  752.8	  269.0	.
800894	  926.4	  746.4	  272.0	.
800896	  925.3	  737.3	  280.0	.
800898	  925.6	  727.0	  290.0	.
800900	  925.8	  725.4	  292.0	.
800902	  924.9	  717.3	  300.0	I
800904	  924.0	  709.1	  308.0	.
800906	  923.5	  689.3	  323.0	.
800908	  924.9	  684.1	  325.0	.
800910	  924.6	  679.2	  330.0	.
800912	  923.3	  665.5	  341.0	.
800914	  922.9	  656.9	  351.0	.
800916	  922.6	  649.0	  355.0	.
800918	  923.3	  645.2	  359.0	.
800920	  922.5	  638.4	  363.0	.
800922	  921.6	  634.6	  369.0	.
800924	  922.8	  626.7	  372.0	.
800926	  921.5	  608.7	  388.0	.
800928	  920.8	  606.3	  390.0	.
800930	  921.2	  601.3	  391.0	.
800932	  921.1	  599.4	  394.0	.
800934	  920.8	  599.3	  399.0	.
800936	  921.3	  595.8	  399.0	.
800938	  920.8	  580.3	  419.0	.
800940	  920.9	  575.1	  422.0	.
ESACC L  800758	800940	184	  942.8	  534.6	  920.8	  580.3	   1.40	    516
SFIX L   800942
800942	  921.0	  569.9	  428.0	.
800944	  923.2	  558.7	  430.0	.
800946	  924.3	  556.2	  436.0	.
800948	  925.4	  554.7	  435.0	.
800950	  924.7	  553.4	  437.0	.
800952	  924.8	  551.4	  436.0	.
800954	  924.6	  549.4	  440.0	.
800956	  923.7	  537.9	  443.0	.
800958	  923.1	  532.8	  452.0	.
800960	  922.6	  531.1	  452.0	.
800962	  923.1	  529.1	  453.0	.
800964	  923.6	  525.7	  455.0	.
800966	  923.7	  519.9	  457.0	.
800968	  924.1	  517.2	  459.0	.
800970	  925.2	  514.4	  459.0	.
800972	  925.3	  513.3	  456.0	.
800974	  925.4	  512.1	  456.0	.
800976	  926.2	  511.6	  456.0	.
800978	  925.8	  511.1	  456.0	.
800980	  927.0	  509.9	  457.0	.
800982	  926.2	  508.8	  457.0	.
800984	  925.0	  501.2	  457.0	.
800986	  924.4	  499.9	  458.0	.
800988	  924.0	  500.0	  456.0	.
800990	  923.4	  499.4	  456.0	.
800992	  923.4	  498.7	  456.0	.
800994	  922.8	  497.2	  457.0	.
800996	  922.2	  495.1	  455.0	.
800998	  922.3	  494.9	  454.0	.
801000	  922.0	  494.9	  454.0	.
801002	  921.6	  494.9	  454.0	.
801004	  920.8	  494.3	  455.0	.
801006	  921.0	  493.4	  455.0	.
801008	  921.0	  494.6	  454.0	.
801010	  922.5	  492.7	  454.0	.
801012	  922.3	  491.1	  452.0	.
801014	  922.5	  494.3	  452.0	.
801016	  923.6	  492.4	  452.0	.
801018	  923.4	  491.7	  449.0	.
801020	  924.2	  491.1	  447.0	.
801022	  925.1	  490.7	  444.0	.
801024	  927.0	  492.0	  441.0	.
EFIX L   800942	801024	84	  923.6	  514.6	    450
SSACC L  801026
801026	  927.7	  493.6	  436.0	.
801028	  928.8	  501.4	  431.0	.
801030	  936.0	  500.6	  429.0	.
801032	  950.1	  498.4	  428.0	.
801034	  951.9	  502.3	  428.0	.
801036	  953.5	  502.3	  428.0	.
801038	  955.4	  502.3	  427.0	.
801040	  956.5	  509.8	  425.0	.
801042	  957.2	  509.5	  424.0	.
801044	  955.9	  516.2	  423.0	.
801046	  956.0	  515.7	  420.0	.
801048	  956.2	  518.8	  417.0	.
801050	  956.4	  522.0	  410.0	.
801052	  956.6	  528.7	  404.0	.
ESACC L  801026	801052	28	  927.7	  493.6	  956.4	  522.0	   1.08	     83
SFIX L   801054
801054	  957.9	  535.1	  402.0	.
801056	  957.7	  536.5	  400.0	.
801058	  958.0	  537.2	  398.0	.
801060	  957.8	  537.8	  398.0	.
801062	  958.6	  538.2	  396.0	.
801064	  958.7	  538.5	  394.0	.
801066	  958.7	  539.8	  393.0	.
801068	  958.5	  540.9	  389.0	.
801070	  959.2	  541.5	  388.0	.
