MSG	760767 TRIAL 2 START
MSG	763964 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.90 deg.  35.4,-2.8 pix.
MSG	764722 RECCFG P 500 2 1 
MSG	764722 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	764723 !MODE RECORD P 500 2 1
START	764724 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
765008	  942.6	  548.0	  487.0	.
765010	  942.7	  547.5	  487.0	.
765012	  942.4	  547.0	  489.0	.
765014	  942.4	  546.8	  489.0	.
765016	  942.2	  546.7	  489.0	.
765018	  941.4	  546.9	  489.0	.
765020	  941.2	  547.1	  489.0	.
765022	  941.3	  547.4	  489.0	.
765024	  941.5	  548.1	  489.0	.
765026	  942.1	  548.3	  490.0	.
765028	  942.7	  548.6	  492.0	.
765030	  942.7	  548.8	  492.0	.
765032	  942.7	  549.0	  492.0	.
765034	  942.3	  549.1	  492.0	.
765036	  942.2	  549.1	  491.0	.
765038	  942.2	  548.8	  491.0	.
765040	  942.2	  548.7	  491.0	.
765042	  942.3	  548.7	  493.0	.
765044	  942.1	  548.9	  493.0	.
765046	  942.4	  548.8	  491.0	.
765048	  942.3	  548.7	  491.0	.
765050	  942.6	  548.9	  491.0	.
765052	  942.8	  548.9	  490.0	.
765054	  942.1	  549.1	  489.0	.
765056	  941.5	  549.2	  489.0	.
765058	  941.7	  549.2	  489.0	.
765060	  942.0	  549.3	  489.0	.
765062	  942.2	  548.7	  489.0	.
765064	  942.0	  548.2	  489.0	.
765066	  941.8	  548.5	  488.0	.
765068	  941.7	  548.7	  488.0	.
765070	  941.7	  550.0	  487.0	.
765072	  941.6	  549.9	  487.0	.
765074	  940.8	  550.4	  487.0	.
765076	  939.7	  549.8	  485.0	.
765078	  939.6	  549.0	  484.0	.
765080	  940.1	  548.9	  484.0	.
765082	  939.9	  549.5	  485.0	.
765084	  939.8	  550.1	  485.0	.
765086	  940.0	  549.6	  483.0	.
765088	  939.9	  549.3	  483.0	.
765090	  940.3	  548.8	  483.0	.
765092	  940.8	  548.9	  483.0	.
765094	  941.7	  548.2	  480.0	.
765096	  943.4	  548.8	  479.0	.
765098	  947.9	  548.3	  478.0	.
765100	  952.5	  547.8	  478.0	.
765102	  953.8	  548.4	  475.0	.
765104	  954.7	  548.5	  473.0	.
765106	  954.3	  548.3	  473.0	.
765108	  954.1	  548.3	  470.0	.
765110	  953.9	  548.7	  469.0	.
765112	  953.8	  548.8	  469.0	.
765114	  953.7	  548.7	  469.0	.
765116	  954.0	  548.2	  465.0	.
765118	  954.0	  548.4	  462.0	.
765120	  954.1	  548.5	  461.0	.
765122	  954.2	  549.9	  460.0	.
765124	  954.4	  550.1	  457.0	.
765126	  954.4	  550.2	  455.0	.
765128	  954.4	  550.2	  455.0	.
765130	  954.2	  550.2	  454.0	.
765132	  954.1	  549.1	  454.0	.
765134	  954.6	  549.4	  453.0	.
765136	  955.3	  549.8	  451.0	.
765138	  956.9	  549.7	  451.0	.
765140	  957.1	  549.5	  451.0	.
765142	  957.3	  549.6	  444.0	.
765144	  958.5	  549.6	  443.0	.
765146	  959.7	  550.0	  442.0	.
765148	  959.4	  549.9	  441.0	.
765150	  959.3	  549.8	  440.0	.
765152	  959.4	  549.8	  439.0	.
765154	  959.1	  550.1	  438.0	.
765156	  959.0	  550.4	  437.0	.
765158	  959.0	  550.6	  433.0	.
765160	  959.2	  553.4	  430.0	.
765162	  958.9	  552.9	  429.0	.
765164	  958.9	  552.9	  427.0	.
765166	  959.1	  553.1	  426.0	.
765168	  959.2	  553.4	  422.0	.
765170	  959.5	  554.2	  421.0	.
765172	  959.8	  553.7	  420.0	.
765174	  960.2	  553.1	  420.0	.
765176	  961.0	  555.4	  415.0	.
765178	  963.1	  557.3	  415.0	.
765180	  963.2	  559.8	  410.0	.
765182	  963.1	  560.4	  406.0	.
765184	  962.7	  561.1	  405.0	.
765186	  963.1	  561.3	  404.0	.
765188	  963.2	  561.6	  404.0	.
765190	  963.1	  561.2	  404.0	.
765192	  963.8	  560.7	  401.0	.
765194	  964.6	  560.6	  399.0	.
765196	  966.2	  560.5	  396.0	.
765198	  966.3	  560.2	  394.0	.
765200	  966.3	  560.1	  394.0	.
765202	  966.8	  560.9	  392.0	.
765204	  966.8	  559.8	  390.0	.
765206	  966.8	  558.6	  387.0	.
765208	  967.7	  559.2	  386.0	.
765210	  967.4	  558.8	  385.0	.
765212	  968.1	  558.5	  384.0	.
765214	  968.6	  557.1	  384.0	.
765216	  969.3	  557.2	  381.0	.
765218	  969.6	  557.3	  379.0	.
765220	  969.8	  557.7	  379.0	.
765222	  971.4	  557.7	  379.0	.
765224	  971.2	  558.0	  377.0	.
765226	  971.8	  557.1	  375.0	.
765228	  972.0	  557.3	  373.0	.
765230	  972.2	  557.3	  372.0	.
765232	  973.0	  556.1	  372.0	.
765234	  973.2	  554.9	  370.0	.
765236	  973.4	  555.8	  369.0	.
765238	  972.8	  556.2	  369.0	.
765240	  972.8	  556.3	  367.0	.
765242	  972.8	  556.3	  366.0	.
765244	  973.5	  556.3	  362.0	.
765246	  973.5	  555.2	  362.0	.
765248	  973.6	  556.1	  360.0	.
765250	  973.8	  555.7	  359.0	.
765252	  973.4	  555.7	  355.0	.
765254	  973.5	  555.6	  355.0	.
765256	  972.8	  555.5	  355.0	.
765258	  972.1	  556.4	  354.0	.
765260	  972.0	  557.3	  353.0	.
765262	  971.8	  557.1	  351.0	.
765264	  971.8	  558.2	  350.0	.
765266	  972.1	  558.4	  348.0	.
765268	  972.1	  558.6	  346.0	.
765270	  972.2	  558.9	  346.0	.
765272	  972.3	  559.2	  345.0	.
