MSG	922747 TRIAL 20 START
MSG	923732 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.42 deg.  -5.3,14.3 pix.
MSG	924439 RECCFG P 500 2 1 
MSG	924439 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	924440 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	924440 !MODE RECORD P 500 2 1
924440	  953.4	  541.5	  378.0	.
924442	  951.6	  541.6	  378.0	.
924444	  951.2	  541.9	  378.0	.
924446	  950.5	  542.4	  377.0	.
SFIX L   924448
924448	  950.9	  541.7	  377.0	.
924450	  951.2	  541.4	  377.0	.
924452	  950.7	  541.5	  377.0	.
924454	  950.1	  541.1	  377.0	.
924456	  950.6	  540.5	  377.0	.
924458	  950.4	  540.4	  377.0	.
924460	  950.4	  540.2	  380.0	.
924462	  950.4	  540.2	  380.0	.
924464	  950.6	  540.1	  379.0	.
924466	  950.6	  539.7	  379.0	.
924468	  949.8	  539.7	  378.0	.
924470	  948.9	  540.4	  379.0	.
924472	  948.9	  541.0	  379.0	.
924474	  948.7	  540.5	  379.0	.
924476	  948.8	  539.9	  379.0	.
924478	  948.7	  539.5	  378.0	.
924480	  948.7	  539.2	  377.0	.
924482	  948.5	  538.9	  377.0	.
924484	  948.5	  538.7	  377.0	.
924486	  948.4	  538.1	  377.0	.
924488	  948.4	  537.8	  377.0	.
924490	  947.7	  537.7	  378.0	.
924492	  948.3	  537.2	  379.0	.
924494	  948.9	  537.3	  379.0	.
924496	  949.0	  537.3	  379.0	.
924498	  949.1	  537.3	  379.0	.
924500	  949.1	  537.1	  379.0	.
924502	  949.4	  536.6	  379.0	.
924504	  949.8	  536.7	  379.0	.
924506	  949.8	  536.8	  379.0	.
924508	  949.4	  536.5	  379.0	.
924510	  950.2	  536.1	  378.0	.
924512	  951.0	  536.5	  378.0	.
924514	  951.1	  536.0	  380.0	.
924516	  951.2	  536.3	  382.0	.
924518	  951.0	  536.8	  383.0	.
924520	  950.9	  536.1	  384.0	.
924522	  950.9	  537.0	  384.0	.
924524	  950.7	  537.2	  383.0	.
924526	  950.6	  537.5	  383.0	.
924528	  950.5	  537.8	  383.0	.
924530	  950.5	  538.1	  383.0	.
924532	  950.8	  538.1	  383.0	.
924534	  950.9	  537.5	  383.0	.
924536	  950.8	  537.5	  383.0	.
924538	  950.9	  537.6	  382.0	.
924540	  950.8	  537.8	  380.0	.
924542	  950.9	  538.1	  380.0	.
924544	  950.7	  537.4	  380.0	.
924546	  951.4	  537.8	  381.0	.
924548	  951.5	  538.2	  381.0	.
MSG	924550 Start Recording with 0
MSG	924550 SYNCTIME
924550	  951.5	  538.0	  382.0	.
924552	  951.4	  538.8	  382.0	.
924554	  950.8	  538.8	  382.0	.
924556	  950.4	  538.6	  381.0	.
924558	  950.1	  538.7	  381.0	.
924560	  949.6	  538.8	  382.0	.
