MSG	807274 TRIAL 6 START
MSG	810054 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.22 deg.  7.9,3.4 pix.
MSG	810814 RECCFG P 500 2 1 
MSG	810814 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	810815 !MODE RECORD P 500 2 1
START	810816 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
811116	  871.4	  524.1	  468.0	.
811118	  871.2	  525.0	  468.0	.
811120	  871.4	  525.1	  468.0	.
811122	  871.2	  525.2	  468.0	.
811124	  871.0	  525.7	  468.0	.
811126	  871.0	  526.2	  470.0	.
811128	  871.7	  527.8	  470.0	.
811130	  871.9	  528.6	  470.0	.
811132	  871.8	  529.4	  470.0	.
811134	  874.2	  532.8	  470.0	.
811136	  876.1	  533.5	  470.0	.
811138	  881.7	  533.7	  470.0	.
811140	  888.8	  533.9	  471.0	.
811142	  900.1	  535.1	  470.0	.
811144	  913.2	  536.9	  470.0	.
811146	  924.5	  534.9	  470.0	.
811148	  935.9	  533.8	  470.0	.
811150	  937.4	  533.6	  467.0	.
811152	  939.8	  532.8	  467.0	.
811154	  940.4	  534.8	  467.0	.
ESACC L  811108	811154	48	  874.2	  506.7	  939.8	  532.8	   1.82	    150
SFIX L   811156
811156	  940.2	  533.8	  467.0	.
811158	  940.0	  533.0	  466.0	.
811160	  939.7	  532.3	  465.0	.
811162	  939.6	  532.3	  464.0	.
811164	  939.1	  532.3	  464.0	.
811166	  938.9	  533.8	  466.0	.
811168	  938.6	  534.6	  466.0	.
811170	  938.4	  534.7	  466.0	.
811172	  937.1	  533.7	  465.0	.
811174	  937.7	  533.7	  464.0	.
811176	  937.4	  533.7	  464.0	.
811178	  937.5	  534.9	  464.0	.
811180	  938.0	  535.6	  461.0	.
811182	  938.6	  536.3	  461.0	.
811184	  938.0	  537.3	  461.0	.
811186	  939.0	  538.1	  463.0	.
811188	  938.3	  538.9	  463.0	.
811190	  938.3	  539.6	  463.0	.
811192	  938.5	  540.2	  464.0	.
811194	  938.8	  540.9	  464.0	.
811196	  938.5	  541.1	  464.0	.
811198	  938.9	  540.7	  462.0	.
811200	  939.0	  541.1	  462.0	.
811202	  939.0	  541.0	  463.0	.
811204	  938.5	  541.2	  463.0	.
811206	  938.1	  540.9	  462.0	.
811208	  937.9	  542.6	  462.0	.
811210	  938.0	  543.2	  463.0	.
811212	  937.9	  543.3	  464.0	.
811214	  937.3	  542.9	  464.0	.
811216	  937.6	  542.3	  464.0	.
811218	  938.2	  542.7	  464.0	.
811220	  938.2	  542.3	  464.0	.
811222	  938.3	  542.0	  464.0	.
811224	  938.7	  541.6	  463.0	.
811226	  938.2	  541.7	  462.0	.
811228	  938.9	  541.1	  461.0	.
811230	  938.9	  540.6	  461.0	.
811232	  938.8	  540.2	  461.0	.
811234	  939.0	  540.0	  460.0	.
811236	  939.2	  539.9	  460.0	.
811238	  938.9	  540.2	  461.0	.
811240	  939.0	  540.5	  462.0	.
811242	  939.2	  541.1	  462.0	.
811244	  939.3	  541.3	  462.0	.
811246	  939.4	  541.3	  460.0	.
811248	  939.9	  541.4	  457.0	.
811250	  940.4	  541.9	  457.0	.
811252	  940.6	  542.1	  455.0	.
811254	  940.8	  542.2	  453.0	.
811256	  941.6	  542.0	  453.0	.
811258	  942.5	  541.8	  451.0	.
811260	  942.4	  541.6	  450.0	.
811262	  943.1	  542.0	  449.0	.
811264	  943.6	  542.1	  449.0	.
811266	  944.9	  542.0	  449.0	.
811268	  944.4	  542.3	  449.0	.
811270	  945.0	  542.3	  448.0	.
811272	  945.2	  542.8	  448.0	.
811274	  945.4	  543.1	  447.0	.
811276	  945.9	  543.9	  445.0	.
811278	  946.4	  543.5	  443.0	.
811280	  946.4	  543.3	  442.0	.
811282	  946.4	  543.3	  441.0	.
811284	  946.4	  543.0	  439.0	.
811286	  947.7	  543.2	  436.0	.
811288	  947.6	  543.6	  436.0	.
811290	  947.7	  544.7	  436.0	.
811292	  948.0	  544.8	  433.0	.
811294	  947.7	  544.9	  431.0	.
811296	  948.1	  544.8	  431.0	.
811298	  948.7	  544.9	  431.0	.
811300	  948.9	  544.9	  430.0	.
811302	  949.5	  547.9	  430.0	.
811304	  949.3	  550.9	  430.0	.
811306	  949.1	  550.9	  427.0	.
811308	  948.8	  550.7	  426.0	.
811310	  948.9	  550.9	  425.0	.
811312	  948.8	  550.5	  425.0	.
811314	  948.9	  550.6	  425.0	.
811316	  949.3	  550.4	  422.0	.
811318	  949.9	  549.9	  419.0	.
811320	  950.4	  550.7	  418.0	.
811322	  951.2	  551.6	  415.0	.
811324	  951.5	  552.3	  414.0	.
811326	  952.1	  552.2	  412.0	.
811328	  952.4	  552.0	  411.0	.
811330	  952.5	  552.5	  410.0	.
811332	  952.3	  552.8	  409.0	.
811334	  953.1	  553.0	  409.0	.
811336	  953.7	  552.7	  409.0	.
811338	  954.1	  552.6	  408.0	.
811340	  954.3	  554.1	  407.0	.
811342	  954.4	  554.3	  406.0	.
811344	  953.8	  554.3	  405.0	.
811346	  953.6	  555.0	  402.0	.
811348	  953.3	  554.7	  399.0	.
811350	  953.6	  554.7	  399.0	.
811352	  953.8	  554.0	  397.0	.
811354	  954.7	  553.3	  395.0	.
811356	  955.1	  553.0	  387.0	.
811358	  955.3	  552.8	  387.0	.
811360	  955.3	  552.3	  387.0	.
811362	  955.7	  552.3	  382.0	.
811364	  955.9	  552.1	  378.0	.
811366	  955.7	  551.9	  378.0	.
811368	  955.6	  551.9	  377.0	.
811370	  955.7	  552.1	  376.0	.
811372	  955.8	  552.4	  375.0	.
811374	  956.4	  553.1	  368.0	.
811376	  956.9	  553.6	  368.0	.
811378	  957.4	  554.2	  367.0	.
811380	  957.2	  554.8	  366.0	.
811382	  957.2	  556.9	  366.0	.
811384	  956.9	  556.9	  365.0	.
811386	  956.9	  557.0	  364.0	.
811388	  957.0	  558.0	  363.0	.
811390	  956.7	  558.2	  360.0	.
811392	  956.5	  559.4	  360.0	.
811394	  956.4	  560.6	  360.0	.
811396	  956.5	  560.8	  360.0	.
811398	  956.4	  561.1	  357.0	.
811400	  956.4	  561.1	  357.0	.
811402	  956.7	  561.1	  357.0	.
811404	  956.6	  560.9	  355.0	.
811406	  957.6	  560.5	  356.0	.
811408	  958.7	  559.9	  355.0	.
811410	  961.0	  559.6	  354.0	.
811412	  965.7	  558.7	  352.0	.
811414	  972.6	  557.2	  350.0	.
811416	  973.2	  557.5	  349.0	.
811418	  973.6	  557.1	  348.0	.
811420	  974.0	  556.8	  347.0	.
811422	  973.6	  556.4	  347.0	.
811424	  974.3	  556.2	  343.0	.
811426	  973.6	  556.1	  342.0	.
811428	  973.1	  556.7	  342.0	.
811430	  972.6	  557.1	  341.0	.
811432	  972.6	  557.5	  341.0	.
811434	  972.7	  557.8	  342.0	.
811436	  972.0	  557.5	  342.0	.
811438	  972.0	  557.1	  340.0	.
811440	  972.1	  557.6	  338.0	.
811442	  971.7	  558.0	  337.0	.
811444	  971.8	  558.3	  337.0	.
811446	  971.7	  557.8	  337.0	.
811448	  972.0	  558.1	  337.0	.
811450	  971.9	  557.7	  332.0	.
811452	  971.9	  557.4	  332.0	.
811454	  971.6	  556.4	  332.0	.
811456	  971.8	  556.1	  332.0	.
811458	  972.6	  555.6	  329.0	.
811460	  973.7	  555.2	  328.0	.
811462	  973.5	  555.5	  327.0	.
811464	  973.4	  555.1	  327.0	.
811466	  973.2	  555.6	  327.0	.
811468	  973.2	  554.9	  326.0	.
811470	  973.2	  554.2	  326.0	.
811472	  973.5	  555.3	  319.0	.
811474	  973.0	  556.5	  319.0	.
811476	  973.1	  556.5	  317.0	.
811478	  973.3	  557.1	  316.0	.
811480	  972.1	  557.7	  316.0	.
811482	  971.8	  557.9	  316.0	.
811484	  971.8	  558.0	  316.0	.
811486	  971.1	  556.0	  315.0	.
811488	  971.6	  555.1	  314.0	.
811490	  971.7	  554.9	  314.0	.
811492	  972.0	  555.0	  314.0	.
811494	  972.0	  554.8	  314.0	.
811496	  972.0	  555.3	  313.0	.
811498	  971.6	  554.9	  312.0	.
811500	  971.7	  554.4	  312.0	.
811502	  971.7	  555.3	  312.0	.
811504	  971.7	  555.0	  312.0	.
811506	  971.9	  554.6	  310.0	.
811508	  971.2	  554.3	  309.0	.
811510	  971.6	  554.2	  309.0	.
811512	  972.1	  554.3	  308.0	.
811514	  971.9	  554.7	  307.0	.
811516	  972.3	  553.5	  307.0	.
811518	  972.0	  552.4	  307.0	.
811520	  972.5	  552.6	  304.0	.
811522	  972.0	  551.3	  303.0	.
811524	  971.6	  550.1	  303.0	.
811526	  971.3	  550.6	  303.0	.
811528	  971.0	  550.1	  302.0	.
811530	  971.7	  550.2	  301.0	.
811532	  971.6	  549.7	  301.0	.
811534	  971.4	  549.2	  301.0	.
811536	  972.0	  549.2	  301.0	.
811538	  971.4	  549.4	  300.0	.
811540	  971.4	  548.2	  300.0	.
811542	  971.5	  547.9	  300.0	.
811544	  970.9	  548.2	  300.0	.
811546	  971.2	  546.8	  299.0	.
811548	  971.4	  547.2	  300.0	.
811550	  971.5	  547.2	  299.0	.
811552	  971.5	  547.3	  299.0	.
811554	  974.1	  547.6	  298.0	.
811556	  976.7	  547.9	  294.0	.
811558	  977.9	  547.8	  292.0	.
811560	  978.2	  547.6	  291.0	.
811562	  977.7	  547.5	  291.0	.
811564	  977.2	  547.8	  290.0	.
811566	  977.1	  547.3	  289.0	.
811568	  977.4	  547.6	  289.0	.
811570	  977.3	  546.4	  289.0	.
811572	  977.3	  546.7	  288.0	.
811574	  977.0	  546.8	  288.0	.
811576	  977.7	  546.7	  287.0	.
811578	  978.1	  547.5	  286.0	.
811580	  978.2	  548.3	  285.0	.
811582	  978.3	  548.4	  285.0	.
811584	  979.0	  548.0	  285.0	.
811586	  978.7	  547.8	  286.0	.
811588	  979.3	  548.5	  286.0	.
811590	  980.0	  549.2	  286.0	.
811592	  980.4	  549.7	  284.0	.
811594	  980.5	  549.6	  283.0	.
811596	  980.5	  549.7	  283.0	.
811598	  980.6	  549.8	  283.0	.
811600	  980.6	  550.0	  282.0	.
811602	  980.6	  550.1	  282.0	.
811604	  980.8	  550.3	  281.0	.
811606	  980.7	  550.1	  281.0	.
811608	  981.1	  550.9	  280.0	.
811610	  981.5	  550.5	  280.0	.
811612	  981.1	  550.9	  280.0	.
811614	  980.9	  551.3	  280.0	.
811616	  979.9	  551.1	  280.0	.
811618	  979.8	  551.4	  279.0	.
811620	  980.5	  551.2	  279.0	.
811622	  980.2	  552.2	  279.0	.
811624	  980.6	  552.0	  278.0	.
811626	  981.0	  553.0	  278.0	.
811628	  982.2	  552.5	  278.0	.
811630	  982.2	  552.7	  277.0	.
811632	  982.1	  552.8	  277.0	.
811634	  981.2	  552.9	  278.0	.
811636	  982.1	  552.7	  277.0	.
811638	  981.1	  552.6	  277.0	.
811640	  981.0	  552.4	  277.0	.
811642	  981.1	  552.0	  279.0	.
811644	  981.2	  551.6	  279.0	.
811646	  980.7	  549.9	  277.0	.
811648	  980.5	  550.1	  276.0	.
811650	  981.1	  550.1	  275.0	.
811652	  981.2	  550.7	  272.0	.
811654	  981.0	  550.7	  272.0	.
811656	  980.9	  550.7	  274.0	.
811658	  980.7	  550.7	  274.0	.
811660	  980.4	  550.7	  273.0	.
811662	  979.9	  549.8	  272.0	.
811664	  979.5	  550.5	  272.0	.
811666	  978.7	  551.3	  271.0	.
811668	  978.6	  551.6	  271.0	.
811670	  978.4	  551.6	  271.0	.
811672	  978.0	  551.8	  271.0	.
811674	  977.8	  551.1	  271.0	.
811676	  978.4	  552.1	  271.0	.
811678	  978.9	  552.5	  270.0	.
811680	  979.8	  552.8	  270.0	.
811682	  979.7	  553.1	  268.0	.
811684	  979.9	  553.5	  267.0	.
811686	  979.1	  553.8	  266.0	.
811688	  978.7	  552.3	  266.0	.
811690	  978.5	  550.6	  266.0	.
811692	  978.8	  551.5	  266.0	.
811694	  978.8	  551.7	  265.0	.
811696	  978.8	  551.8	  265.0	.
811698	  978.5	  551.8	  265.0	.
811700	  977.6	  553.4	  264.0	.
811702	  977.6	  552.6	  264.0	.
811704	  977.6	  553.0	  264.0	.
811706	  977.8	  552.3	  262.0	.
811708	  977.9	  554.3	  262.0	.
811710	  977.9	  555.0	  262.0	.
811712	  977.5	  555.8	  262.0	.
811714	  978.0	  558.6	  262.0	.
811716	  978.6	  561.5	  261.0	.
811718	  978.4	  560.6	  261.0	.
811720	  978.4	  561.7	  260.0	.
811722	  978.0	  562.9	  259.0	.
811724	  978.5	  563.5	  258.0	.
811726	  978.8	  564.1	  258.0	.
811728	  978.8	  564.2	  257.0	.
811730	  978.1	  564.0	  257.0	.
811732	  978.1	  563.7	  257.0	.
811734	  977.9	  558.6	  258.0	.
811736	  978.3	  558.7	  258.0	.
811738	  978.1	  558.9	  258.0	.
811740	  978.4	  557.5	  258.0	.
811742	  978.3	  557.2	  259.0	.
811744	  978.4	  557.1	  260.0	.
811746	  978.4	  557.0	  260.0	.
811748	  978.6	  559.2	  260.0	.
811750	  979.3	  561.4	  259.0	.
811752	  980.8	  562.0	  255.0	.
811754	  980.7	  563.1	  253.0	.
811756	  980.5	  561.8	  253.0	.
811758	  980.3	  560.7	  252.0	.
811760	  979.9	  557.4	  253.0	.
811762	  979.7	  558.0	  253.0	.
811764	  979.9	  558.4	  252.0	.
811766	  980.1	  559.5	  250.0	.
811768	  980.4	  560.3	  250.0	.
811770	  979.8	  561.4	  250.0	.
811772	  979.3	  562.2	  250.0	.
811774	  978.8	  562.0	  249.0	.
811776	  978.4	  562.1	  249.0	.
811778	  978.5	  562.1	  249.0	.
811780	  978.6	  562.1	  249.0	.
811782	  978.9	  561.8	  249.0	.
811784	  979.1	  561.9	  248.0	.
811786	  979.0	  561.0	  248.0	.
811788	  980.0	  561.8	  247.0	.
811790	  981.0	  561.7	  247.0	.
811792	  981.3	  561.7	  247.0	.
811794	  981.6	  561.6	  247.0	.
811796	  981.4	  561.7	  247.0	.
811798	  981.4	  562.1	  247.0	.
811800	  981.4	  562.6	  247.0	.
811802	  980.6	  561.9	  247.0	.
811804	  979.9	  562.0	  248.0	.
811806	  979.8	  562.2	  248.0	.
811808	  979.8	  562.4	  248.0	.
811810	  980.1	  562.6	  248.0	.
811812	  980.4	  562.6	  248.0	.
811814	  979.9	  562.8	  246.0	.
811816	  979.8	  562.1	  246.0	.
811818	  979.9	  561.3	  246.0	.
811820	  979.9	  561.0	  246.0	.
811822	  979.9	  561.4	  246.0	.
811824	  979.9	  561.8	  246.0	.
811826	  979.7	  561.6	  245.0	.
811828	  979.7	  562.8	  245.0	.
811830	  979.7	  564.0	  245.0	.
811832	  979.7	  564.3	  245.0	.
811834	  979.6	  564.7	  245.0	.
811836	  979.6	  565.5	  244.0	.
811838	  979.7	  565.8	  244.0	.
811840	  979.7	  565.4	  245.0	.
811842	  980.0	  565.8	  245.0	.
811844	  980.1	  566.2	  245.0	.
811846	  980.0	  566.2	  245.0	.
811848	  980.0	  566.0	  245.0	.
811850	  980.0	  564.4	  244.0	.
811852	  980.2	  565.5	  244.0	.
811854	  980.4	  565.7	  243.0	.
811856	  981.1	  565.4	  243.0	.
811858	  982.0	  565.7	  244.0	.
811860	  982.2	  566.0	  244.0	.
811862	  982.5	  566.1	  242.0	.
811864	  981.9	  565.9	  242.0	.
811866	  981.5	  565.7	  242.0	.
811868	  981.2	  565.7	  242.0	.
811870	  981.0	  565.7	  241.0	.
811872	  980.2	  566.5	  241.0	.
811874	  980.2	  566.7	  242.0	.
811876	  980.1	  566.6	  243.0	.
811878	  979.9	  566.5	  242.0	.
811880	  980.2	  566.0	  242.0	.
811882	  978.9	  566.2	  242.0	.
811884	  977.7	  566.5	  242.0	.
811886	  977.8	  566.2	  242.0	.
811888	  978.0	  566.3	  242.0	.
811890	  979.1	  566.2	  242.0	.
811892	  979.3	  566.1	  242.0	.
811894	  979.6	  566.0	  242.0	.
811896	  980.6	  565.9	  240.0	.
811898	  981.5	  565.6	  240.0	.
811900	  980.7	  566.4	  241.0	.
811902	  981.1	  565.7	  242.0	.
811904	  981.4	  565.0	  242.0	.
811906	  983.1	  565.4	  241.0	.
811908	  982.8	  564.8	  241.0	.
811910	  983.3	  564.4	  236.0	.
811912	  983.1	  564.2	  236.0	.
811914	  982.8	  563.7	  236.0	.
811916	  983.5	  563.0	  236.0	.
811918	  983.2	  563.6	  237.0	.
811920	  982.9	  562.7	  238.0	.
811922	  983.1	  561.7	  238.0	.
811924	  982.9	  561.8	  238.0	.
811926	  983.2	  561.5	  238.0	.
811928	  983.2	  562.0	  236.0	.
811930	  983.1	  561.7	  236.0	.
811932	  982.6	  562.5	  236.0	.
811934	  982.1	  563.4	  236.0	.
811936	  981.5	  562.8	  238.0	.
811938	  981.5	  563.3	  238.0	.
811940	  981.6	  563.7	  238.0	.
811942	  981.9	  565.3	  237.0	.
811944	  981.7	  564.4	  237.0	.
811946	  982.0	  564.0	  237.0	.
811948	  982.4	  563.7	  237.0	.
811950	  983.3	  563.4	  236.0	.
811952	  983.6	  563.2	  236.0	.
811954	  983.2	  563.1	  235.0	.
811956	  982.9	  563.1	  233.0	.
811958	  982.8	  563.1	  232.0	.
811960	  982.9	  563.2	  232.0	.
811962	  983.2	  563.2	  233.0	.
811964	  983.6	  562.6	  233.0	.
811966	  983.2	  562.9	  233.0	.
811968	  982.9	  562.4	  233.0	.
811970	  982.9	  561.9	  233.0	.
811972	  981.9	  560.9	  232.0	.
811974	  980.7	  559.8	  232.0	.
811976	  980.8	  561.3	  232.0	.
811978	  980.9	  562.7	  233.0	.
811980	  981.1	  564.4	  232.0	.
811982	  981.3	  564.5	  232.0	.
811984	  981.2	  564.7	  232.0	.
