MSG	852297 TRIAL 11 START
MSG	853488 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.46 deg.  14.9,-9.2 pix.
MSG	854237 RECCFG P 500 2 1 
MSG	854237 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	854238 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	854238 !MODE RECORD P 500 2 1
854238	  934.9	  533.4	  450.0	.
854240	  934.8	  535.2	  450.0	.
854242	  935.2	  535.1	  450.0	.
854244	  935.7	  534.3	  449.0	.
SFIX L   854246
854246	  935.7	  533.6	  449.0	.
854248	  935.9	  534.2	  449.0	.
854250	  936.1	  532.7	  449.0	.
854252	  936.0	  532.8	  448.0	.
854254	  936.2	  532.5	  448.0	.
854256	  936.1	  532.1	  448.0	.
854258	  936.2	  534.2	  448.0	.
854260	  936.3	  534.2	  448.0	.
854262	  936.0	  534.4	  448.0	.
854264	  936.1	  536.0	  448.0	.
854266	  936.2	  536.0	  448.0	.
854268	  936.3	  535.3	  447.0	.
854270	  936.7	  536.3	  447.0	.
854272	  937.1	  536.5	  447.0	.
854274	  937.6	  536.4	  447.0	.
854276	  937.3	  536.6	  449.0	.
854278	  937.0	  536.2	  449.0	.
854280	  937.4	  535.6	  449.0	.
854282	  937.9	  535.6	  450.0	.
854284	  938.5	  534.6	  451.0	.
854286	  938.7	  533.7	  451.0	.
854288	  938.9	  534.7	  451.0	.
854290	  939.0	  535.8	  451.0	.
854292	  939.5	  534.2	  451.0	.
854294	  939.7	  535.8	  451.0	.
854296	  939.8	  537.3	  451.0	.
854298	  939.4	  536.3	  451.0	.
854300	  938.9	  535.3	  452.0	.
854302	  938.8	  536.4	  452.0	.
854304	  938.6	  537.5	  452.0	.
854306	  938.3	  537.4	  451.0	.
854308	  938.2	  537.2	  450.0	.
854310	  938.6	  537.1	  450.0	.
854312	  938.4	  537.0	  451.0	.
854314	  939.0	  536.8	  452.0	.
854316	  939.4	  536.6	  453.0	.
854318	  939.8	  538.5	  453.0	.
854320	  940.1	  540.3	  451.0	.
854322	  940.7	  541.5	  449.0	.
854324	  940.5	  541.3	  449.0	.
854326	  940.5	  541.2	  450.0	.
854328	  940.2	  541.2	  451.0	.
854330	  940.7	  540.7	  451.0	.
854332	  940.7	  540.3	  451.0	.
854334	  940.8	  539.4	  451.0	.
854336	  940.6	  537.9	  451.0	.
854338	  942.8	  537.9	  452.0	.
854340	  941.4	  537.5	  454.0	.
854342	  941.0	  538.6	  454.0	.
854344	  940.3	  538.4	  454.0	.
854346	  940.1	  538.1	  454.0	.
MSG	854348 Start Recording with 0
MSG	854348 SYNCTIME
854348	  939.9	  538.0	  454.0	.
854350	  940.6	  537.7	  453.0	.
MSG	854352 DSP: FIXATION
854352	  940.2	  535.9	  453.0	.
854354	  940.3	  536.8	  453.0	.
854356	  940.1	  536.3	  452.0	.
