MSG	834594 TRIAL 9 START
MSG	835938 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.73 deg.  -8.7,-24.8 pix.
MSG	836689 RECCFG P 500 2 1 
MSG	836689 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	836690 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	836690 !MODE RECORD P 500 2 1
836690	  936.0	  535.4	  416.0	.
836692	  936.0	  535.1	  416.0	.
836694	  934.9	  535.9	  416.0	.
836696	  933.8	  536.9	  416.0	.
SFIX L   836698
836698	  933.8	  537.1	  416.0	.
836700	  933.7	  537.1	  416.0	.
836702	  934.0	  536.9	  416.0	.
836704	  932.8	  536.4	  417.0	.
836706	  933.0	  536.7	  417.0	.
836708	  933.1	  537.1	  417.0	.
836710	  932.6	  536.7	  418.0	.
836712	  933.0	  536.3	  419.0	.
836714	  933.1	  535.9	  419.0	.
836716	  933.0	  535.6	  419.0	.
836718	  932.6	  535.0	  419.0	.
836720	  932.9	  536.1	  418.0	.
836722	  932.9	  535.3	  419.0	.
836724	  932.7	  534.6	  419.0	.
836726	  932.5	  534.7	  419.0	.
836728	  932.1	  533.9	  419.0	.
836730	  932.6	  532.9	  419.0	.
836732	  932.3	  533.7	  421.0	.
836734	  932.6	  532.6	  421.0	.
836736	  932.3	  531.5	  421.0	.
836738	  932.8	  532.4	  421.0	.
836740	  933.1	  532.7	  420.0	.
836742	  934.0	  532.9	  420.0	.
836744	  934.3	  532.9	  420.0	.
836746	  934.6	  532.9	  420.0	.
836748	  934.0	  531.4	  420.0	.
836750	  933.8	  532.6	  420.0	.
836752	  933.8	  533.1	  420.0	.
836754	  933.7	  533.4	  420.0	.
836756	  933.4	  532.8	  420.0	.
836758	  933.5	  532.5	  420.0	.
836760	  933.5	  532.3	  420.0	.
836762	  933.8	  530.2	  421.0	.
836764	  934.1	  529.4	  423.0	.
836766	  934.1	  528.7	  423.0	.
836768	  934.0	  527.8	  423.0	.
836770	  934.3	  527.6	  423.0	.
836772	  934.5	  527.5	  423.0	.
836774	  934.7	  527.5	  422.0	.
836776	  934.7	  528.8	  422.0	.
836778	  934.8	  529.2	  422.0	.
836780	  934.5	  529.6	  421.0	.
836782	  934.3	  529.0	  420.0	.
836784	  933.3	  528.5	  420.0	.
836786	  933.0	  524.3	  421.0	.
836788	  933.0	  524.3	  421.0	.
836790	  933.3	  525.2	  418.0	.
836792	  933.4	  526.1	  418.0	.
836794	  932.9	  530.4	  417.0	.
836796	  932.0	  530.5	  418.0	.
836798	  933.0	  531.3	  418.0	.
836800	  932.5	  528.9	  418.0	.
MSG	836802 Start Recording with 0
836802	  932.7	  528.6	  418.0	.
MSG	836803 SYNCTIME
836804	  932.7	  528.1	  419.0	.
836806	  932.1	  527.4	  417.0	.
836808	  931.9	  526.5	  418.0	.
836810	  932.2	  528.9	  418.0	.
