MSG	826495 TRIAL 8 START
MSG	828386 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.29 deg.  11.1,2.1 pix.
MSG	829144 RECCFG P 500 2 1 
MSG	829144 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	829145 !MODE RECORD P 500 2 1
START	829146 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
829146	  853.4	  497.2	  423.0	.
829148	  854.1	  498.8	  423.0	.
829150	  853.9	  498.4	  423.0	.
829152	  853.8	  497.8	  423.0	.
SFIX L   829154
829154	  853.1	  498.0	  423.0	.
829156	  852.4	  497.5	  423.0	.
829158	  852.4	  496.9	  423.0	.
829160	  852.7	  499.1	  424.0	.
829162	  852.6	  499.1	  424.0	.
829164	  852.7	  498.9	  425.0	.
829166	  852.7	  498.5	  425.0	.
829168	  852.7	  498.0	  425.0	.
829170	  853.1	  497.6	  426.0	.
829172	  853.5	  497.6	  427.0	.
829174	  853.0	  496.6	  427.0	.
829176	  852.5	  495.5	  428.0	.
829178	  852.7	  495.8	  428.0	.
829180	  852.5	  495.2	  429.0	.
829182	  852.2	  494.6	  429.0	.
829184	  852.6	  494.5	  429.0	.
829186	  852.6	  494.5	  429.0	.
829188	  852.7	  494.3	  429.0	.
829190	  852.8	  494.2	  429.0	.
829192	  853.0	  493.0	  429.0	.
829194	  853.5	  491.9	  434.0	.
829196	  853.6	  490.5	  434.0	.
829198	  853.7	  491.3	  433.0	.
829200	  853.8	  490.7	  433.0	.
829202	  853.9	  490.1	  433.0	.
829204	  854.3	  489.7	  433.0	.
829206	  854.3	  490.3	  433.0	.
829208	  854.9	  490.7	  433.0	.
829210	  855.5	  491.6	  433.0	.
829212	  855.7	  491.3	  434.0	.
829214	  855.6	  491.5	  434.0	.
829216	  855.6	  491.7	  433.0	.
829218	  855.8	  491.9	  433.0	.
829220	  855.9	  492.2	  431.0	.
829222	  855.4	  492.4	  431.0	.
829224	  855.6	  492.4	  431.0	.
829226	  855.2	  492.8	  431.0	.
829228	  854.8	  493.2	  430.0	.
829230	  853.7	  493.4	  430.0	.
829232	  854.0	  493.3	  429.0	.
829234	  854.0	  494.1	  429.0	.
829236	  854.4	  494.1	  429.0	.
829238	  854.8	  494.1	  431.0	.
829240	  855.6	  494.5	  434.0	.
829242	  855.3	  494.0	  434.0	.
829244	  855.4	  494.2	  432.0	.
829246	  854.9	  494.5	  430.0	.
829248	  855.0	  494.4	  430.0	.
829250	  855.2	  494.0	  430.0	.
829252	  856.1	  493.7	  430.0	.
MSG	829254 Start Recording with 0
MSG	829254 SYNCTIME
829254	  857.1	  493.5	  429.0	.
829256	  857.0	  491.9	  429.0	.
829258	  856.5	  491.3	  430.0	.
829260	  856.3	  490.9	  430.0	.
829262	  856.4	  491.9	  430.0	.
829264	  856.7	  492.7	  430.0	.
829266	  858.4	  493.5	  430.0	.
