MSG	867638 TRIAL 13 START
MSG	869646 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.32 deg.  11.1,5.3 pix.
MSG	870406 RECCFG P 500 2 1 
MSG	870406 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	870407 !MODE RECORD P 500 2 1
START	870408 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
870408	  937.3	  537.1	  437.0	.
870410	  936.9	  537.1	  437.0	.
870412	  937.6	  537.0	  437.0	.
870414	  938.2	  537.0	  437.0	.
SFIX L   870416
870416	  937.5	  536.9	  437.0	.
870418	  937.2	  536.9	  437.0	.
870420	  937.1	  537.7	  437.0	.
870422	  937.0	  537.4	  438.0	.
870424	  936.5	  537.3	  438.0	.
870426	  936.0	  537.3	  438.0	.
870428	  936.5	  537.1	  438.0	.
870430	  937.0	  536.9	  437.0	.
870432	  937.6	  537.1	  437.0	.
870434	  938.3	  537.1	  436.0	.
870436	  937.8	  537.0	  436.0	.
870438	  937.4	  537.0	  436.0	.
870440	  937.5	  536.6	  435.0	.
870442	  937.6	  536.4	  435.0	.
870444	  937.5	  536.4	  434.0	.
870446	  938.2	  536.3	  434.0	.
870448	  937.7	  536.5	  434.0	.
870450	  938.1	  536.0	  434.0	.
870452	  938.6	  535.6	  434.0	.
870454	  940.0	  535.3	  433.0	.
870456	  939.6	  535.6	  433.0	.
870458	  939.2	  535.4	  433.0	.
870460	  939.1	  535.3	  432.0	.
870462	  939.0	  535.0	  433.0	.
870464	  939.0	  535.0	  434.0	.
870466	  939.0	  535.0	  434.0	.
870468	  938.3	  534.6	  434.0	.
870470	  938.0	  533.9	  435.0	.
870472	  938.3	  533.4	  434.0	.
870474	  938.1	  533.5	  434.0	.
870476	  938.0	  533.8	  434.0	.
870478	  938.1	  533.6	  435.0	.
870480	  937.7	  534.5	  435.0	.
870482	  938.1	  533.9	  435.0	.
870484	  938.0	  533.4	  434.0	.
870486	  938.1	  534.3	  434.0	.
870488	  938.1	  534.3	  435.0	.
870490	  938.1	  534.3	  435.0	.
870492	  937.8	  534.4	  434.0	.
870494	  937.6	  534.4	  434.0	.
870496	  938.0	  534.3	  434.0	.
870498	  937.4	  535.1	  434.0	.
870500	  936.8	  535.9	  434.0	.
870502	  937.1	  535.8	  435.0	.
870504	  937.3	  536.1	  435.0	.
870506	  937.4	  536.3	  436.0	.
870508	  936.7	  536.2	  437.0	.
870510	  936.1	  536.8	  437.0	.
870512	  935.6	  535.7	  437.0	.
870514	  936.8	  535.6	  437.0	.
MSG	870516 Start Recording with 0
MSG	870516 SYNCTIME
870516	  938.0	  535.5	  436.0	.
870518	  937.8	  535.6	  436.0	.
870520	  938.0	  535.1	  436.0	.
870522	  938.1	  534.6	  436.0	.
870524	  938.1	  534.5	  436.0	.
870526	  938.5	  534.2	  436.0	.
870528	  938.3	  534.8	  436.0	.
