764724,1,0,942.9,551.1,480.0
764726,1,0,942.8,551.3,482.0
764728,1,0,942.5,551.3,481.0
764730,1,0,942.1,551.4,482.0
764732,1,0,941.9,551.6,481.0
764734,1,0,941.9,551.9,482.0
764736,1,0,942.5,552.3,483.0
764738,1,0,943.1,552.7,485.0
764740,1,0,943.2,551.1,485.0
764742,1,0,943.4,551.3,483.0
764744,1,0,943.3,550.5,482.0
764746,1,0,943.2,549.8,481.0
764748,1,0,943.6,550.5,481.0
764750,1,0,943.4,551.3,481.0
764752,1,0,943.7,551.4,481.0
764754,1,0,944.2,551.2,480.0
764756,1,0,944.5,551.2,480.0
764758,1,0,944.5,551.3,480.0
764760,1,0,944.3,551.4,480.0
764762,1,0,944.1,550.7,480.0
764764,1,0,944.0,550.0,480.0
764766,1,0,944.1,550.2,481.0
764768,1,0,944.3,549.4,481.0
764770,1,0,943.9,550.0,481.0
764772,1,0,943.4,550.3,481.0
764774,1,0,944.2,550.3,482.0
764776,1,0,944.8,550.0,482.0
764778,1,0,945.0,550.2,482.0
764780,1,0,944.0,550.4,481.0
764782,1,0,943.9,550.4,481.0
764784,1,0,943.9,550.5,481.0
764786,1,0,944.2,550.6,481.0
764788,1,0,944.7,551.4,481.0
764790,1,0,944.6,552.5,483.0
764792,1,0,944.4,552.8,484.0
764794,1,0,944.4,553.2,484.0
764796,1,0,944.2,553.3,483.0
764798,1,0,944.4,553.0,483.0
764800,1,0,944.3,552.7,483.0
764802,1,0,944.3,552.7,483.0
764804,1,0,944.2,552.9,481.0
764806,1,0,944.3,552.8,480.0
764808,1,0,944.6,552.5,480.0
764810,1,0,944.9,552.9,482.0
764812,1,0,945.0,553.3,482.0
764814,1,0,944.5,553.4,482.0
764816,1,0,943.8,553.3,482.0
764818,1,0,943.5,553.2,482.0
764820,1,0,943.6,553.3,481.0
764822,1,0,943.6,553.2,481.0
764824,1,0,943.5,553.1,481.0
764826,1,0,943.6,553.2,482.0
764828,1,0,943.4,551.4,481.0
764830,1,0,943.3,550.8,482.0
764832,1,0,942.5,550.5,482.0
764834,1,0,942.1,550.3,481.0
764836,1,0,941.9,549.4,481.0
764838,1,1,942.0,549.2,481.0
764840,1,1,942.2,549.6,482.0
764842,1,1,942.3,550.1,483.0
764844,1,1,942.4,551.1,483.0
764846,1,1,941.9,551.4,482.0
764848,1,1,941.5,551.3,482.0
764850,1,1,940.5,551.5,482.0
764852,1,1,940.5,551.7,481.0
764854,1,1,940.4,551.9,481.0
764856,1,1,939.6,551.6,481.0
764858,1,1,939.6,551.3,482.0
764860,1,1,939.3,550.9,482.0
764862,1,1,939.0,550.9,482.0
764864,1,1,939.4,550.7,482.0
764866,1,1,939.1,550.8,482.0
764868,1,1,938.9,550.8,482.0
764870,1,1,938.0,551.3,481.0
764872,1,1,938.7,551.8,481.0
764874,1,1,938.3,552.1,481.0
764876,1,1,938.1,552.2,481.0
764878,1,1,938.2,551.6,480.0
764880,1,1,938.6,552.0,480.0
764882,1,1,938.5,551.7,479.0
764884,1,1,938.6,551.3,479.0
