MSG	787131 TRIAL 4 START
MSG	789932 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.41 deg.  -3.7,-14.3 pix.
MSG	790690 RECCFG P 500 2 1 
MSG	790690 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	790691 !MODE RECORD P 500 2 1
START	790692 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
790692	  916.3	  525.4	  471.0	.
790694	  916.4	  525.5	  471.0	.
790696	  916.6	  524.7	  470.0	.
790698	  916.8	  523.9	  470.0	.
SFIX L   790700
790700	  917.4	  523.1	  471.0	.
790702	  916.9	  523.1	  471.0	.
790704	  917.1	  523.5	  472.0	.
790706	  916.3	  524.1	  472.0	.
790708	  916.4	  524.1	  471.0	.
790710	  916.5	  524.1	  471.0	.
790712	  917.6	  524.3	  469.0	.
790714	  917.5	  524.7	  469.0	.
790716	  918.3	  524.5	  469.0	.
790718	  918.7	  525.0	  469.0	.
790720	  919.1	  524.9	  469.0	.
790722	  919.2	  524.6	  468.0	.
790724	  919.1	  524.3	  468.0	.
790726	  919.0	  524.2	  468.0	.
790728	  920.4	  523.7	  467.0	.
790730	  921.8	  523.7	  467.0	.
790732	  921.3	  524.0	  467.0	.
790734	  921.3	  525.1	  467.0	.
790736	  921.6	  525.6	  467.0	.
790738	  920.6	  526.2	  467.0	.
790740	  920.9	  526.2	  467.0	.
790742	  921.2	  526.1	  467.0	.
790744	  920.6	  526.2	  466.0	.
790746	  920.8	  526.2	  467.0	.
790748	  920.9	  526.4	  467.0	.
790750	  920.9	  527.5	  469.0	.
790752	  921.0	  528.7	  467.0	.
790754	  921.2	  529.9	  467.0	.
790756	  919.9	  531.2	  467.0	.
790758	  919.6	  532.4	  467.0	.
790760	  919.8	  533.7	  467.0	.
790762	  920.1	  534.2	  467.0	.
790764	  920.2	  534.3	  466.0	.
790766	  921.1	  534.3	  465.0	.
790768	  921.3	  535.1	  464.0	.
790770	  921.5	  535.4	  464.0	.
790772	  921.4	  535.3	  462.0	.
790774	  921.3	  535.3	  462.0	.
790776	  922.0	  535.1	  462.0	.
790778	  922.7	  535.1	  462.0	.
790780	  922.9	  536.4	  462.0	.
790782	  922.7	  537.0	  463.0	.
790784	  922.7	  537.5	  464.0	.
790786	  922.8	  537.2	  464.0	.
790788	  922.8	  536.9	  464.0	.
790790	  922.6	  537.7	  464.0	.
790792	  923.6	  537.7	  464.0	.
790794	  923.7	  538.0	  464.0	.
790796	  923.3	  537.3	  463.0	.
790798	  923.1	  536.7	  462.0	.
790800	  923.3	  536.7	  461.0	.
MSG	790801 Start Recording with 0
MSG	790801 SYNCTIME
790802	  923.0	  536.9	  461.0	.
790804	  923.0	  537.1	  461.0	.
790806	  922.8	  536.2	  461.0	.
790808	  922.8	  536.6	  459.0	.
790810	  922.6	  535.9	  458.0	.
790812	  923.1	  535.0	  457.0	.
