MSG	906974 TRIAL 18 START
MSG	909270 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.23 deg.  -4.1,7.4 pix.
MSG	910027 RECCFG P 500 2 1 
MSG	910027 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	910028 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	910028 !MODE RECORD P 500 2 1
910028	  847.3	  458.7	  412.0	.
910030	  847.3	  459.8	  412.0	.
910032	  847.6	  460.9	  412.0	.
910034	  847.3	  464.4	  412.0	.
SFIX L   910036
910036	  847.6	  465.7	  410.0	.
910038	  847.9	  467.0	  409.0	.
910040	  847.4	  466.8	  409.0	.
910042	  847.3	  466.5	  409.0	.
910044	  847.3	  467.0	  409.0	.
910046	  846.6	  467.7	  409.0	.
910048	  846.6	  467.4	  409.0	.
910050	  846.7	  467.4	  409.0	.
910052	  846.3	  467.5	  409.0	.
910054	  846.5	  467.8	  409.0	.
910056	  846.3	  469.1	  411.0	.
910058	  846.1	  470.0	  413.0	.
910060	  845.9	  470.1	  413.0	.
910062	  846.1	  470.2	  411.0	.
910064	  845.8	  470.2	  410.0	.
910066	  846.5	  470.0	  410.0	.
910068	  847.1	  470.2	  410.0	.
910070	  847.1	  470.6	  410.0	.
910072	  847.1	  471.5	  411.0	.
910074	  846.9	  471.5	  413.0	.
910076	  846.8	  472.1	  413.0	.
910078	  846.3	  472.9	  413.0	.
910080	  846.3	  472.9	  410.0	.
910082	  846.1	  473.1	  410.0	.
910084	  846.9	  472.9	  411.0	.
910086	  847.7	  472.8	  412.0	.
910088	  847.2	  472.7	  413.0	.
910090	  846.8	  472.7	  415.0	.
910092	  846.7	  472.7	  415.0	.
910094	  846.6	  472.5	  415.0	.
910096	  846.9	  472.7	  415.0	.
910098	  847.2	  473.0	  414.0	.
910100	  847.6	  473.1	  414.0	.
910102	  847.1	  473.4	  416.0	.
910104	  846.6	  473.5	  416.0	.
910106	  846.0	  473.6	  415.0	.
910108	  845.7	  473.3	  415.0	.
910110	  845.4	  472.9	  416.0	.
910112	  845.5	  472.7	  416.0	.
910114	  845.7	  472.6	  415.0	.
910116	  846.5	  471.7	  415.0	.
910118	  845.5	  471.8	  414.0	.
910120	  847.1	  471.9	  414.0	.
910122	  847.0	  471.6	  414.0	.
910124	  847.0	  472.4	  412.0	.
910126	  847.0	  472.7	  412.0	.
910128	  847.0	  472.9	  416.0	.
910130	  847.1	  474.0	  417.0	.
910132	  846.9	  475.0	  416.0	.
910134	  846.6	  477.5	  416.0	.
910136	  846.0	  478.3	  416.0	.
MSG	910138 Start Recording with 0
MSG	910138 SYNCTIME
910138	  845.7	  477.3	  416.0	.
910140	  845.5	  477.1	  416.0	.
910142	  845.9	  477.1	  416.0	.
910144	  846.3	  477.1	  416.0	.
910146	  846.0	  477.5	  416.0	.
910148	  845.7	  479.0	  416.0	.
