MSG	915447 TRIAL 19 START
MSG	916740 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.71 deg.  8.7,-23.9 pix.
MSG	917487 RECCFG P 500 2 1 
MSG	917487 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	917488 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	917488 !MODE RECORD P 500 2 1
917488	  851.5	  494.8	  407.0	.
917490	  850.8	  494.6	  407.0	.
917492	  850.1	  494.6	  407.0	.
917494	  850.8	  493.3	  408.0	.
SFIX L   917496
917496	  850.8	  492.9	  409.0	.
917498	  850.4	  493.0	  416.0	.
917500	  850.8	  489.5	  416.0	.
917502	  850.7	  490.0	  415.0	.
917504	  850.5	  490.4	  415.0	.
917506	  851.2	  492.0	  415.0	.
917508	  851.8	  492.1	  415.0	.
917510	  852.2	  491.7	  415.0	.
917512	  852.7	  491.1	  416.0	.
917514	  852.9	  489.9	  417.0	.
917516	  853.0	  492.1	  416.0	.
917518	  852.9	  489.7	  418.0	.
917520	  852.8	  487.2	  417.0	.
917522	  851.3	  490.4	  417.0	.
917524	  852.2	  493.2	  415.0	.
917526	  852.4	  491.1	  415.0	.
917528	  852.3	  491.8	  415.0	.
917530	  852.8	  489.0	  415.0	.
917532	  851.4	  488.0	  415.0	.
917534	  851.5	  487.7	  415.0	.
917536	  851.6	  487.2	  415.0	.
917538	  851.4	  484.8	  415.0	.
917540	  851.5	  488.2	  413.0	.
917542	  851.5	  488.8	  414.0	.
917544	  850.7	  489.4	  415.0	.
917546	  849.9	  493.1	  414.0	.
917548	  849.9	  492.1	  416.0	.
917550	  849.8	  492.9	  416.0	.
917552	  848.4	  493.8	  416.0	.
917554	  849.3	  490.9	  416.0	.
917556	  849.6	  490.2	  415.0	.
917558	  849.7	  490.6	  415.0	.
917560	  849.9	  489.5	  415.0	.
917562	  849.9	  488.5	  417.0	.
917564	  850.0	  492.2	  414.0	.
917566	  849.9	  495.9	  415.0	.
917568	  849.6	  494.9	  415.0	.
917570	  849.7	  496.4	  415.0	.
917572	  849.8	  494.7	  416.0	.
917574	  850.3	  492.9	  416.0	.
917576	  849.2	  494.2	  416.0	.
917578	  847.9	  494.8	  417.0	.
917580	  846.9	  494.8	  420.0	.
917582	  846.5	  496.0	  421.0	.
917584	  846.5	  493.9	  422.0	.
917586	  846.3	  491.9	  424.0	.
917588	  845.0	  494.0	  427.0	.
917590	  844.8	  492.8	  427.0	.
917592	  844.9	  492.7	  427.0	.
917594	  843.8	  493.4	  427.0	.
917596	  844.6	  492.1	  426.0	.
MSG	917598 Start Recording with 0
MSG	917598 SYNCTIME
917598	  844.3	  490.9	  426.0	.
917600	  844.4	  493.2	  426.0	.
917602	  844.0	  492.9	  426.0	.
917604	  843.9	  492.6	  427.0	.
917606	  842.2	  495.0	  426.0	.
917608	  842.8	  492.4	  427.0	.
