MSG	775045 TRIAL 3 START
MSG	777234 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.03 deg.  -0.6,1.0 pix.
MSG	778004 RECCFG P 500 2 1 
MSG	778004 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	778005 !MODE RECORD P 500 2 1
START	778006 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
778006	  955.7	  536.5	  498.0	.
778008	  955.6	  536.1	  499.0	.
778010	  955.7	  536.0	  499.0	.
778012	  955.1	  536.7	  499.0	.
SFIX L   778014
778014	  954.5	  536.2	  499.0	.
778016	  952.4	  536.4	  499.0	.
778018	  953.0	  536.5	  500.0	.
778020	  952.5	  536.4	  502.0	.
778022	  952.9	  536.1	  502.0	.
778024	  953.0	  535.5	  503.0	.
778026	  953.1	  533.7	  503.0	.
778028	  954.7	  534.2	  503.0	.
778030	  954.0	  533.1	  503.0	.
778032	  954.0	  532.0	  504.0	.
778034	  953.9	  530.9	  504.0	.
778036	  954.2	  531.3	  504.0	.
778038	  954.1	  531.6	  505.0	.
778040	  954.8	  532.3	  504.0	.
778042	  954.7	  532.2	  504.0	.
778044	  954.7	  532.0	  504.0	.
778046	  954.3	  531.5	  504.0	.
778048	  954.3	  530.5	  505.0	.
778050	  954.2	  531.0	  505.0	.
778052	  954.5	  530.9	  505.0	.
778054	  954.6	  530.8	  505.0	.
778056	  954.9	  531.0	  506.0	.
778058	  955.1	  531.2	  505.0	.
778060	  955.6	  531.2	  506.0	.
778062	  956.1	  530.6	  508.0	.
778064	  955.7	  530.2	  508.0	.
778066	  955.3	  529.5	  508.0	.
778068	  954.4	  529.4	  509.0	.
778070	  954.2	  529.6	  510.0	.
778072	  954.0	  529.8	  510.0	.
778074	  954.1	  529.4	  511.0	.
778076	  954.4	  529.1	  511.0	.
778078	  954.3	  529.6	  508.0	.
778080	  954.3	  528.3	  508.0	.
778082	  953.9	  528.1	  508.0	.
778084	  953.7	  528.4	  508.0	.
778086	  953.9	  527.6	  509.0	.
778088	  954.0	  529.3	  509.0	.
778090	  955.0	  530.6	  509.0	.
778092	  956.1	  531.0	  509.0	.
778094	  955.3	  530.7	  509.0	.
778096	  954.7	  530.8	  509.0	.
778098	  954.5	  530.7	  510.0	.
778100	  954.6	  530.9	  510.0	.
778102	  954.6	  530.9	  511.0	.
778104	  954.1	  530.0	  511.0	.
778106	  953.5	  530.3	  511.0	.
778108	  953.5	  529.1	  511.0	.
778110	  953.4	  529.2	  512.0	.
778112	  953.5	  529.3	  512.0	.
778114	  953.5	  529.2	  512.0	.
MSG	778115 Start Recording with 0
MSG	778115 SYNCTIME
778116	  953.9	  529.3	  512.0	.
778118	  954.2	  529.4	  512.0	.
778120	  954.2	  529.4	  512.0	.
MSG	778121 DSP: FIXATION
778122	  953.6	  529.3	  512.0	.
778124	  953.2	  530.7	  512.0	.
