g0310.asc,9,2,1,840678,840692,16,1539.0,603.3,1578.0,610.8,0.97,101
g0310.asc,9,2,1,841146,841208,64,1557.8,596.0,466.8,575.3,26.20,664
g0310.asc,9,2,1,841710,841776,68,440.2,553.9,1452.3,641.7,24.50,618
g0310.asc,9,2,1,841914,841940,28,1417.6,599.9,1588.5,608.8,4.19,317
g0310.asc,9,2,1,842326,842372,48,1564.4,613.0,1027.8,595.0,13.26,538
g0310.asc,10,1,1,846926,846952,28,745.6,523.8,950.3,544.9,5.20,347
g0310.asc,10,1,1,849506,849516,12,986.4,547.6,989.2,523.5,0.69,86
g0310.asc,10,2,1,850074,850120,48,975.5,532.2,478.6,564.7,12.32,443
g0310.asc,10,2,1,850262,850276,16,473.0,563.6,437.4,576.2,0.91,110
g0310.asc,10,2,1,850502,850572,72,440.2,568.0,1648.3,593.3,28.70,666
g0310.asc,10,2,1,850758,850768,12,1617.3,587.5,1595.5,568.4,0.74,93
g0310.asc,10,2,1,850938,851004,68,1583.3,565.8,434.0,622.1,27.47,670
g0310.asc,10,2,1,851206,851216,12,432.2,592.7,459.1,585.9,0.66,83
g0310.asc,11,1,1,854566,854576,12,943.0,536.8,955.8,516.6,0.66,82
g0310.asc,11,1,1,857174,857192,20,960.4,560.3,964.7,545.3,0.44,57
g0310.asc,11,2,1,857610,857656,48,959.1,544.2,437.1,590.0,12.82,431
g0310.asc,11,2,1,858002,858064,64,420.9,584.3,1564.2,600.0,27.22,685
g0310.asc,11,2,1,858202,858220,20,1550.6,604.1,1599.4,605.0,1.18,124
g0310.asc,11,2,1,858782,858828,48,1575.9,583.1,1046.2,603.4,13.12,461
g0310.asc,12,1,1,863418,863424,8,967.5,568.0,970.5,559.0,0.26,56
g0310.asc,12,2,1,865478,865528,52,954.6,561.4,435.4,583.4,12.69,371
g0310.asc,12,2,1,865838,865904,68,417.3,577.3,1580.0,628.2,27.59,679
g0310.asc,12,2,1,866138,866148,12,1564.6,611.0,1571.4,593.9,0.49,74
g0310.asc,12,2,1,866486,866532,48,1558.5,581.0,1093.9,570.7,11.48,408
