Interval=	0.001 s
ExcelDateTime=	4.5785602370697263e+004	2025/05/08 14:27:24.828244
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	5.000 V
0.344	-0.017
0.345	-0.018
0.346	-0.019
0.347	-0.019
0.348	-0.018
0.349	-0.017
0.35	-0.015
0.351	-0.013
0.352	-0.015
0.353	-0.015
0.354	-0.016
0.355	-0.017
0.356	-0.018
0.357	-0.018
0.358	-0.020
0.359	-0.015
0.36	-0.016
0.361	-0.018
0.362	-0.017
0.363	-0.016
0.364	-0.017
0.365	-0.017
0.366	-0.016
0.367	-0.013
0.368	-0.012
0.369	-0.015
0.37	-0.015
0.371	-0.016
0.372	-0.016
0.373	-0.016
0.374	-0.017
0.375	-0.015
0.376	-0.014
0.377	-0.015
0.378	-0.018
0.379	-0.018
0.38	-0.018
0.381	-0.020
0.382	-0.020
0.383	-0.018
0.384	-0.014
0.385	-0.014
0.386	-0.015
0.387	-0.015
0.388	-0.015
0.389	-0.016
0.39	-0.018
0.391	-0.019
0.392	-0.016
0.393	-0.014
0.394	-0.017
0.395	-0.018
0.396	-0.017
0.397	-0.017
0.398	-0.016
0.399	-0.016
0.4	-0.014
0.401	-0.012
0.402	-0.015
0.403	-0.014
0.404	-0.015
0.405	-0.017
0.406	-0.018
0.407	-0.017
0.408	-0.018
0.409	-0.015
0.41	-0.015
0.411	-0.016
0.412	-0.017
0.413	-0.017
0.414	-0.017
0.415	-0.016
0.416	-0.016
0.417	-0.011
0.418	-0.009
0.419	-0.011
0.42	-0.012
0.421	-0.015
0.422	-0.019
0.423	-0.021
0.424	-0.022
0.425	-0.021
0.426	-0.017
0.427	-0.016
0.428	-0.017
0.429	-0.018
0.43	-0.017
0.431	-0.016
0.432	-0.017
0.433	-0.016
0.434	-0.014
0.435	-0.014
0.436	-0.015
0.437	-0.016
0.438	-0.016
0.439	-0.016
0.44	-0.017
0.441	-0.017
0.442	-0.015
0.443	-0.015
0.444	-0.018
0.445	-0.018
0.446	-0.018
0.447	-0.017
0.448	-0.017
0.449	-0.015
0.45	-0.014
0.451	-0.013
0.452	-0.015
0.453	-0.015
0.454	-0.015
0.455	-0.016
0.456	-0.017
0.457	-0.019
0.458	-0.019
0.459	-0.015
0.46	-0.014
0.461	-0.017
0.462	-0.017
0.463	-0.017
0.464	-0.017
0.465	-0.017
0.466	-0.016
0.467	-0.014
0.468	-0.013
0.469	-0.015
0.47	-0.014
0.471	-0.015
0.472	-0.018
0.473	-0.019
0.474	-0.020
0.475	-0.017
0.476	-0.014
0.477	-0.016
0.478	-0.018
0.479	-0.018
0.48	-0.018
0.481	-0.016
0.482	-0.017
0.483	-0.017
0.484	-0.013
0.485	-0.014
0.486	-0.015
0.487	-0.015
0.488	-0.015
0.489	-0.016
0.49	-0.018
0.491	-0.019
0.492	-0.017
0.493	-0.013
0.494	-0.016
0.495	-0.018
0.496	-0.017
0.497	-0.018
0.498	-0.018
0.499	-0.018
0.5	-0.015
0.501	-0.014
0.502	-0.016
0.503	-0.015
0.504	-0.015
0.505	-0.017
0.506	-0.018
0.507	-0.019
0.508	-0.019
0.509	-0.015
0.51	-0.015
0.511	-0.017
0.512	-0.017
0.513	-0.017
0.514	-0.019
0.515	-0.019
0.516	-0.018
0.517	-0.016
0.518	-0.014
0.519	-0.015
0.52	-0.016
0.521	-0.015
0.522	-0.016
0.523	-0.017
0.524	-0.018
0.525	-0.018
0.526	-0.015
0.527	-0.016
0.528	-0.017
0.529	-0.017
0.53	-0.016
0.531	-0.017
0.532	-0.018
0.533	-0.015
0.534	-0.012
0.535	-0.013
0.536	-0.014
0.537	-0.015
0.538	-0.016
0.539	-0.018
0.54	-0.018
0.541	-0.018
0.542	-0.016
0.543	-0.014
0.544	-0.016
0.545	-0.016
0.546	-0.016
0.547	-0.017
0.548	-0.016
0.549	-0.016
0.55	-0.016
0.551	-0.013
0.552	-0.015
0.553	-0.015
0.554	-0.014
0.555	-0.016
0.556	-0.016
0.557	-0.018
0.558	-0.020
0.559	-0.016
0.56	-0.015
0.561	-0.018
0.562	-0.018
0.563	-0.019
0.564	-0.018
0.565	-0.018
0.566	-0.016
0.567	-0.013
0.568	-0.012
0.569	-0.015
0.57	-0.014
0.571	-0.015
0.572	-0.019
0.573	-0.018
0.574	-0.019
0.575	-0.018
0.576	-0.015
0.577	-0.016
0.578	-0.017
0.579	-0.016
0.58	-0.016
0.581	-0.016
0.582	-0.016
0.583	-0.016
0.584	-0.013
0.585	-0.012
0.586	-0.014
0.587	-0.014
0.588	-0.015
0.589	-0.015
0.59	-0.016
0.591	-0.018
0.592	-0.016
0.593	-0.013
0.594	-0.014
0.595	-0.016
0.596	-0.015
0.597	-0.016
0.598	-0.016
0.599	-0.015
0.6	-0.013
0.601	-0.012
0.602	-0.012
0.603	-0.013
0.604	-0.013
0.605	-0.014
0.606	-0.016
0.607	-0.017
0.608	-0.019
0.609	-0.017
0.61	-0.017
0.611	-0.020
0.612	-0.021
0.613	-0.020
0.614	-0.020
0.615	-0.019
0.616	-0.019
0.617	-0.017
0.618	-0.016
0.619	-0.018
0.62	-0.018
0.621	-0.019
0.622	-0.020
0.623	-0.021
0.624	-0.022
0.625	-0.020
0.626	-0.017
0.627	-0.017
0.628	-0.019
0.629	-0.018
0.63	-0.018
0.631	-0.019
0.632	-0.018
0.633	-0.017
0.634	-0.016
0.635	-0.015
0.636	-0.016
0.637	-0.015
0.638	-0.016
0.639	-0.018
0.64	-0.018
0.641	-0.017
0.642	-0.016
0.643	-0.013
0.644	-0.016
0.645	-0.016
0.646	-0.016
0.647	-0.016
0.648	-0.016
0.649	-0.016
0.65	-0.015
0.651	-0.013
0.652	-0.013
0.653	-0.014
0.654	-0.013
0.655	-0.015
0.656	-0.014
0.657	-0.016
0.658	-0.017
0.659	-0.015
0.66	-0.014
0.661	-0.017
0.662	-0.018
0.663	-0.016
0.664	-0.017
0.665	-0.017
0.666	-0.016
0.667	-0.014
0.668	-0.012
0.669	-0.012
0.67	-0.013
0.671	-0.014
0.672	-0.016
0.673	-0.017
0.674	-0.018
0.675	-0.017
0.676	-0.015
0.677	-0.015
0.678	-0.017
0.679	-0.018
0.68	-0.018
0.681	-0.016
0.682	-0.016
0.683	-0.015
0.684	-0.012
0.685	-0.012
0.686	-0.015
0.687	-0.015
0.688	-0.016
0.689	-0.017
0.69	-0.019
0.691	-0.018
0.692	-0.017
0.693	-0.015
0.694	-0.015
0.695	-0.018
0.696	-0.018
0.697	-0.018
0.698	-0.017
0.699	-0.016
0.7	-0.015
0.701	-0.012
0.702	-0.014
0.703	-0.015
0.704	-0.013
0.705	-0.016
0.706	-0.018
0.707	-0.018
0.708	-0.018
0.709	-0.016
0.71	-0.014
0.711	-0.017
0.712	-0.018
0.713	-0.019
0.714	-0.019
0.715	-0.018
0.716	-0.017
0.717	-0.014
0.718	-0.012
0.719	-0.015
0.72	-0.016
0.721	-0.014
0.722	-0.016
0.723	-0.018
0.724	-0.018
0.725	-0.018
0.726	-0.016
0.727	-0.015
0.728	-0.016
0.729	-0.016
0.73	-0.018
0.731	-0.018
0.732	-0.017
0.733	-0.017
0.734	-0.014
0.735	-0.013
0.736	-0.014
0.737	-0.013
0.738	-0.015
0.739	-0.016
0.74	-0.018
0.741	-0.018
0.742	-0.018
0.743	-0.014
0.744	-0.015
0.745	-0.016
0.746	-0.017
0.747	-0.017
0.748	-0.018
0.749	-0.016
0.75	-0.016
0.751	-0.013
0.752	-0.013
0.753	-0.014
0.754	-0.014
0.755	-0.015
0.756	-0.017
0.757	-0.018
0.758	-0.018
0.759	-0.017
0.76	-0.015
0.761	-0.017
0.762	-0.018
0.763	-0.016
0.764	-0.018
0.765	-0.017
0.766	-0.016
0.767	-0.016
0.768	-0.014
0.769	-0.014
0.77	-0.014
0.771	-0.015
0.772	-0.016
0.773	-0.019
0.774	-0.019
0.775	-0.018
0.776	-0.015
0.777	-0.015
0.778	-0.017
0.779	-0.019
0.78	-0.017
0.781	-0.017
0.782	-0.017
0.783	-0.017
0.784	-0.015
0.785	-0.014
0.786	-0.015
0.787	-0.014
0.788	-0.015
0.789	-0.017
0.79	-0.017
0.791	-0.018
0.792	-0.018
0.793	-0.015
0.794	-0.015
0.795	-0.017
0.796	-0.017
0.797	-0.017
0.798	-0.017
0.799	-0.018
0.8	-0.016
0.801	-0.015
0.802	-0.015
0.803	-0.014
0.804	-0.014
0.805	-0.016
0.806	-0.018
0.807	-0.018
0.808	-0.017
0.809	-0.016
0.81	-0.014
0.811	-0.018
0.812	-0.018
0.813	-0.018
0.814	-0.019
0.815	-0.018
0.816	-0.018
0.817	-0.015
0.818	-0.013
0.819	-0.016
0.82	-0.015
0.821	-0.015
0.822	-0.017
0.823	-0.019
0.824	-0.018
0.825	-0.018
0.826	-0.017
0.827	-0.016
0.828	-0.018
0.829	-0.018
0.83	-0.017
0.831	-0.018
0.832	-0.018
0.833	-0.017
0.834	-0.014
0.835	-0.013
0.836	-0.015
0.837	-0.015
0.838	-0.015
0.839	-0.018
0.84	-0.019
0.841	-0.019
0.842	-0.018
0.843	-0.014
0.844	-0.015
0.845	-0.018
0.846	-0.017
0.847	-0.017
0.848	-0.018
0.849	-0.017
0.85	-0.017
0.851	-0.015
0.852	-0.013
0.853	-0.015
0.854	-0.014
0.855	-0.016
0.856	-0.017
0.857	-0.017
0.858	-0.018
0.859	-0.018
0.86	-0.014
0.861	-0.015
0.862	-0.018
0.863	-0.017
0.864	-0.018
0.865	-0.018
0.866	-0.017
0.867	-0.015
0.868	-0.012
0.869	-0.013
0.87	-0.014
0.871	-0.014
0.872	-0.015
0.873	-0.017
0.874	-0.018
0.875	-0.019
0.876	-0.016
0.877	-0.014
0.878	-0.015
0.879	-0.016
0.88	-0.016
